Lookup,Scalebook.y,Scale#,Fish#,Hatchery,Number,FishLookup,Sex,Origin,Region,FL(mm),CirculiFW,CirculiTotal,FWG1a,FWG1t,FWG2a,FWG2t,MG1a,MG1t,MG2a,MG2t,MGAvg,TotalScaleLen
878696,87869,46,6,Quinsam,69,Quinsam69,F,Clip,SoG,605,30,56,22.721875,545.325,29.60916667,177.655,42.858,428.58,41.32,123.96,42.50307692,1275.52
878697,87869,47,7,Quinsam,70,Quinsam70,M,Clip,SoG,605,25,59,24.0325,384.52,28.62444444,257.62,47.418,474.18,47.5275,380.22,47.46666667,1496.54
516983,51698,3,3,Quinsam,80,Quinsam80,M,Clip,SoG,785,29,64,23.84368421,453.03,24.054,240.54,44.653,446.53,51.00875,204.035,46.46892857,1344.135
516993,51699,3,3,Quinsam,91,Quinsam91,M,Wild,WCVI,830,23,61,29.94625,479.14,30.37357143,212.615,44.037,440.37,44.088,440.88,44.0625,1573.005
878792,87879,12,2,Big Qualicum,2,Big Qualicum2,M,Wild,WCVI,620,25,55,22.60929825,429.5766667,31.79388889,190.7633333,48.66633333,486.6633333,47.23875,377.91,48.03185185,1484.913333
878781,87878,11,1,Big Qualicum,13,Big Qualicum13,M,Clip,WCVI,575,30,58,21.01569444,504.3766667,27.145,162.87,33.32366667,333.2366667,36.95666667,110.87,34.16205129,1111.353333
878773,87877,33,3,Big Qualicum,38,Big Qualicum38,M,Wild,WCVI,605,20,60,24.10416667,289.25,30.11375,240.91,39.892,398.92,38.98846154,506.85,39.38130435,1435.93
878774,87877,44,4,Big Qualicum,39,Big Qualicum39,M,Wild,WCVI,625,25,59,22.50705882,382.62,31.94708333,255.5766667,39.597,395.97,38.11791667,304.9433333,38.93962963,1339.11
878775,87877,45,5,Big Qualicum,40,Big Qualicum40,M,Wild,WCVI,720,21,51,24.7734375,396.375,29.955,149.775,39.8065,398.065,41.76875,501.225,40.87681818,1445.44
878776,87877,26,6,Big Qualicum,41,Big Qualicum41,M,Clip,SoG,600,37,65,21.97608696,505.45,25.94071429,363.17,46.73333333,467.3,,,,
878778,87877,8,8,Big Qualicum,43,Big Qualicum43,M,Clip,WCVI,685,30,60,24.99869565,574.97,27.21,190.47,44.218,442.18,43.65,130.95,44.08692308,1338.57
878761,87876,11,1,Big Qualicum,80,Big Qualicum80,F,Clip,SoG,635,39,71,22.43583333,538.46,30.271,454.065,39.02375,156.095,,,,
878768,87876,48,8,Big Qualicum,91,Big Qualicum91,F,Wild,WCVI,730,24,67,31.6609375,506.575,38.1175,304.94,39.8905,398.905,35.57277778,320.155,37.84526316,1530.575
366958,36695,48,8,Chilliwack,11,Chilliwack11,F,Wild,WCVI,643,23,62,27.40833333,411.125,22.720625,181.765,36.553,365.53,37.9165,379.165,37.23475,1337.585
859432,85943,32,2,Chilliwack,21,Chilliwack21,F,Clip,WCVI,604,20,58,31.14363636,342.58,23.04666667,207.42,33.948,339.48,43.74,568.62,39.4826087,1458.1
M99992,M9999,22,2,Chilliwack,37,Chilliwack37,M,Clip,WCVI,570,30,65,24.35272727,535.76,24.085,192.68,41.848,418.48,37.60333333,112.81,40.86846154,1259.73
315852,31585,2,2,Chilliwack,51,Chilliwack51,F,Clip,WCVI,660,27,53,25.04916667,375.7375,28.628125,343.5375,39.6065,396.065,34.64625,207.8775,37.74640625,1323.2175
315854,31585,4,4,Chilliwack,53,Chilliwack53,F,Wild,WCVI,592,24,54,22.864,342.96,24.70277778,222.325,40.1065,401.065,37.72666667,339.54,38.97921053,1305.89
315858,31585,28,8,Chilliwack,57,Chilliwack57,F,Wild,WCVI,608,20,54,23.4275,257.7025,23.94,215.46,40.94525,409.4525,42.95019231,558.3525,42.07847826,1440.9675
3158510,31585,10,10,Chilliwack,60,Chilliwack60,F,Clip,WCVI,536,33,57,22.715,363.44,21.49960784,365.4933333,37.39233333,373.9233333,,,,
463681,46368,21,1,Chilliwack,90,Chilliwack90,M,Clip,WCVI,616,26,58,23.78606061,523.2933333,18.7975,75.19,37.64033333,376.4033333,44.14142857,308.99,40.3172549,1283.876667
463688,46368,38,8,Chilliwack,100,Chilliwack100,M,Wild,WCVI,694,26,61,26.24941176,446.24,27.03833333,243.345,42.412,424.12,41.23285714,288.63,41.92647059,1402.335
878579,87857,19,9,Chilliwack,122,Chilliwack122,M,Wild,WCVI,689,20,53,24.81625,297.795,28.325625,226.605,45.5865,455.865,41.23653846,536.075,43.12782609,1516.34
516532,51653,2,2,Chilliwack,202,Chilliwack202,F,Clip,WCVI,630,29,56,20.30507937,426.4066667,27.42,219.36,39.83933333,398.3933333,35.81,143.24,38.68809524,1187.4
516533,51653,3,3,Chilliwack,203,Chilliwack203,F,Clip,WCVI,610,26,58,23.62701754,448.9133333,23.70904762,165.9633333,38.31,383.1,41.13190476,287.9233333,39.47196078,1285.9
517009,51700,29,9,Chilliwack,221,Chilliwack221,M,Clip,WCVI,585,20,60,23.10380952,323.4533333,20.41555556,122.4933333,33.00033333,330.0033333,39.04487179,507.5833333,36.41681159,1283.533333
878813,87881,3,3,Chilliwack,227,Chilliwack227,F,Clip,WCVI,605,26,63,28.99611111,521.93,25.31375,202.51,35.118,351.18,45.77285714,320.41,39.50529412,1396.03
